,loss,bpc,val_loss,val_bpc,time
0,5.941816805326924,8.57306957244873,4.869570797139948,7.016456127166748,411.1433720588684
1,4.524841300382532,6.483087539672852,4.258290502158078,6.083199977874756,254.74738764762878
2,4.131129889470625,5.881612777709961,4.033011701974002,5.723550796508789,253.60648608207703
3,3.9230821418586252,5.5599870681762695,3.904648569497195,5.517974376678467,253.99456763267517
4,3.775631573074125,5.3338751792907715,3.8147778890349646,5.378073215484619,253.98560237884521
5,3.6616189520883973,5.142282962799072,3.75643667307767,5.282491207122803,254.1469864845276
6,3.570243830903723,4.99355936050415,3.7127726945010098,5.21293830871582,253.7854609489441
7,3.4959356990101007,4.874517440795898,3.6826692711223257,5.160320281982422,254.12037134170532
8,3.433458918574991,4.784840106964111,3.6616327600045637,5.132267475128174,254.20165395736694
9,3.378352510093323,4.689321517944336,3.649161793968894,5.112207412719727,254.02178168296814
10,3.331260720302258,4.6088547706604,3.64630482413552,5.100047588348389,255.85995388031006
11,3.2791759734664017,4.538357257843018,3.6268891367045315,5.070916652679443,254.15932250022888
12,3.230201252712095,4.456301689147949,3.620021652091633,5.057798862457275,254.42607426643372
13,3.199421391275976,4.412907123565674,3.615334825082259,5.048213481903076,254.40798091888428
14,3.180686230735732,4.375911235809326,3.6151124943386423,5.046253681182861,254.4966914653778
15,3.1690338696061024,4.372074127197266,3.613880981098522,5.045541763305664,254.3658766746521
16,3.163445434740402,4.355714321136475,3.6132526235146956,5.042413234710693,254.22832655906677
17,3.159538362445573,4.35120964050293,3.612909506667744,5.042255878448486,254.30436515808105
18,3.1576412775419733,4.336729526519775,3.612799649888819,5.0423173904418945,254.36142897605896
19,3.1574013436998976,4.341214179992676,3.6127453338016164,5.042088508605957,254.4731638431549
