,loss,bpc,val_loss,val_bpc,time
0,29.807352632027563,8.37633991241455,5.0612734664570205,7.103829860687256,519.2452223300934
1,4.777368447290868,6.838710308074951,4.627257477153432,6.635164737701416,318.87230372428894
2,4.533369534716542,6.492377758026123,4.482101055708799,6.433212757110596,318.0205590724945
3,4.37872406330789,6.266055583953857,4.377514784986323,6.287557601928711,318.1244773864746
4,4.167230555345505,5.900453567504883,4.1614433797923,5.90754508972168,318.1495816707611
5,3.9868132071008247,5.599287509918213,4.072809148918498,5.777584552764893,318.1509966850281
6,3.8606375469052923,5.4162678718566895,4.029376566410065,5.699965953826904,319.5773284435272
7,3.7535265509639424,5.2276177406311035,4.003897563977675,5.656331539154053,318.3293528556824
8,3.6532055957730845,5.0699262619018555,3.995212571187453,5.659831523895264,318.5429744720459
9,3.557895215821589,4.906604290008545,4.008376571265134,5.673361301422119,318.19300961494446
10,3.4628779288440907,4.73158597946167,4.03157989545302,5.715362548828125,318.41676235198975
11,3.3527254339807,4.567216396331787,4.049874831329692,5.748325824737549,318.5321145057678
12,3.2527256388799146,4.4094648361206055,4.072090642018751,5.778915882110596,318.22095680236816
13,3.186439067235292,4.3021464347839355,4.086180757392537,5.801338195800781,318.5584807395935
14,3.146772142559253,4.227560520172119,4.097551036964763,5.8183207511901855,318.38701462745667
15,3.1223248288786865,4.200312614440918,4.103230427611958,5.826681137084961,318.258846282959
16,3.108745900760571,4.172489166259766,4.105149231173775,5.8306684494018555,317.94614601135254
17,3.1011058988019844,4.16094446182251,4.107096536593004,5.8339433670043945,318.3351836204529
18,3.0970748318370713,4.1674065589904785,4.107756804336201,5.834522724151611,318.0517780780792
19,3.095657975324699,4.151697158813477,4.1079724701968106,5.834975719451904,318.04711627960205
