,loss,bpc,val_loss,val_bpc,time
0,5.72993507273816,8.259943962097168,4.5952746651389385,6.602593421936035,560.5097100734711
1,4.214397214582192,6.0141191482543945,3.962095179341056,5.616093158721924,333.9806864261627
2,3.7522457603452244,5.28488302230835,3.743183287707242,5.273642063140869,332.33742785453796
3,3.484334820311008,4.852071285247803,3.6484835743904114,5.1149091720581055,332.6330409049988
4,3.2769675583270494,4.542801380157471,3.6266068545254795,5.078431129455566,332.889155626297
5,3.084858019706801,4.236191272735596,3.6670417352156206,5.1276774406433105,332.7484509944916
6,2.8956596635804406,3.9267826080322266,3.746336059136824,5.246445655822754,332.8370680809021
7,2.70346748418327,3.617847204208374,3.8725939934903924,5.416855812072754,333.0175793170929
8,2.5110003244392987,3.3144986629486084,4.028609330003912,5.647499084472656,332.86842465400696
9,2.320796923737098,3.0034167766571045,4.218767350370234,5.933982849121094,333.2151401042938
10,2.1353040842699094,2.7201316356658936,4.428627241741527,6.243239402770996,333.6251118183136
11,1.927361359162231,2.3901572227478027,4.645285162058744,6.554213047027588,334.9593207836151
12,1.7320030243634297,2.083314895629883,4.8341170224276455,6.845402240753174,333.1520256996155
13,1.6037710098616165,1.8887982368469238,4.963292934677818,7.033812522888184,333.0475015640259
14,1.5279216289813522,1.7761341333389282,5.040465663779866,7.143082141876221,333.2353775501251
15,1.4834383193857115,1.6985950469970703,5.084123914892023,7.207034587860107,333.1000053882599
16,1.4599210271682832,1.6667100191116333,5.1095638925378974,7.241884708404541,333.369775056839
17,1.4466303578162105,1.6531922817230225,5.120406627655029,7.258362770080566,333.3556592464447
18,1.4391725477550597,1.6326268911361694,5.126574397087097,7.269765853881836,333.55095624923706
19,1.436686271744314,1.6307170391082764,5.129112590443004,7.273532390594482,333.4093074798584
